,,Defended,Left alone,Beaten,Edged,Caught,Runout,Stumped,Bowled,LBW,Boundary_bat,Runs_bat,Boundary_extras,R_extras,Catch_drop,Stumping_missed,Runout_missed,Bouncer,Yorker,Overthrow,great_save,poor_fielding,
Sno,Discourse,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,
1,"MM Sharma to Miller, 1 run, back of a length and jags in, Miller is cramped for room a bit but secures a single through square leg to get off the mark",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,"Willey to Azhar Ali, 1 run, early signs of swing, worked to the leg side",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,"Willey to Babar Azam, no run, Ideal line, angling into the stumps from the left-arm line",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Willey to Babar Azam, 1 run, clipped off the pads, out to midwicket",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
5,"Willey to Azhar Ali, no run, big stride, forward defence. Classical",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,"Willey to Azhar Ali, no run, less classical this time, riding his bat Happy Gilmore-style, but defended down the wicket all the same",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,"Willey to Azhar Ali, no run, huge appeal as Willey straightens one into the pads but there was a huge stride down the wicket beforehand. No review but encouraging signs for England",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,"Topley to Babar Azam, 2 runs, outside off, a fraction too short and helped through the covers off the back foot, using the natural angle across the right-hander",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
9,"Topley to Babar Azam, no run, turned into the leg-side, slightly squared up in defence",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
10,"Topley to Babar Azam, 1 run, very full, flicked off the pads to fine leg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
11,"Topley to Azhar Ali, no run, big stride, attempting to negate the swing, for there is a hint",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,"Topley to Azhar Ali, no run, crunched into the covers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,"Topley to Azhar Ali, no run, good tight over",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,"Willey to Babar Azam, OUT, scher-wing! Curly-wurly inducker, bending back into the right-hander's pads. That won't be reviewed. Off he goes!",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
15,"Willey to Mohammad Hafeez, 1 leg bye, swing again, but too leg-sided this time. Optimistic appeal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,"Willey to Azhar Ali, no run, forward and blocked to mid-on",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,"Willey to Azhar Ali, no run, driven down the ground, well fielded with a slide at mid-on",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,"Willey to Azhar Ali, 1 run, clipped to the leg side",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
19,"Willey to Mohammad Hafeez, no run, up onto the toes, fenced into the point region. Another good over from Willey. One of only six left-arm seamers to take a wicket for England in ODIs. SIX!",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
20,"Topley to Azhar Ali, 1 run, up onto the toes, flogged down to third man",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
21,"Topley to Mohammad Hafeez, no run, solidly into line",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
22,"Topley to Mohammad Hafeez, 1 wide, down the leg side, the swing takes control as Topley loses control",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
23,"Topley to Mohammad Hafeez, no run, outside off, better line, climbing through to the keeper",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,"Topley to Mohammad Hafeez, no run, on the pads, big appeal, even greater optimism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,"Topley to Mohammad Hafeez, no run, pushed into the covers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,"Topley to Mohammad Hafeez, no run, forward once again, and picked up by the bowler",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,"Willey to Azhar Ali, no run, watchful against the swing",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,"Willey to Azhar Ali, no run, forward tentatively and pushed to cover",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,"Willey to Azhar Ali, 1 run, angled defence out to midwicket",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
30,"Willey to Mohammad Hafeez, OUT, movement, edged, a thin snick through to Buttler who gathers well and low, and the big fish has been landed! Hafeez, Pakistan's form batsman, is gone for a duck to one that just grazed past his tentative defence",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,"Willey to Iftikhar Ahmed, no run, well left first-up. Keeping low outside off stump",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,"Willey to Iftikhar Ahmed, no run, outside off, left alone. England are bossing this contest right now ...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,"Topley to Azhar Ali, no run, wide, surely? No? I've seen those given in Tests ...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,"Topley to Azhar Ali, no run, tighter line, no run this time either",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,"Topley to Azhar Ali, no run, perfect line for the left-armer, cramping the right-hander for room, demanding a leave",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
36,"Topley to Azhar Ali, no run, driven without conviction to cover",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
