Word1,Word2,Method1,Method2,Word2Vec
modi,namo,0.098656234,0.102274731,0.638935852
hindu,muslim,0.04784689,0.026737968,0.874555651
india,congress,0.041067762,0.038709677,0.459788167
dubai,modi,0.034488765,0.059981824,0.424940284
uae,modi,0.050042845,0.073127974,0.641518941
dubai,uae,0.210182768,0.101289714,0.430534462
dubai,india,0.143939394,0.080728376,0.352826119
modi,narendra,0.015948358,0.07266436,0.844844673
modi,pm,0.058719148,0.067357513,0.934485338
stadium,cricket,0.009950249,0.014184397,0.928930266
india,delhi,0.023648649,0.047457627,0.883130499
india,bharat,0.013355593,0.028985507,0.44447244
dubai,muslim,0.025565388,0.024253731,0.269948413
